Amount_of_threads;Time_of_execution;Speedup
1;1.77127;1
2;1.49199;1.18718
4;0.865898;2.04559
7;0.492236;3.59842
8;0.463024;3.82544
16;0.288583;6.13782
20;0.265807;6.66374
40;0.196137;9.03076
