Amount_of_threads;Time_of_execution;Speedup
1;0.675623;1
2;0.363937;1.85643
4;0.183303;3.68582
7;0.121434;5.56371
8;0.0939312;7.19274
16;0.0729692;9.25902
20;0.0624989;10.8102
40;0.0272391;24.8034
