Amount_of_threads;Time_of_execution;Speedup
1;6.67608;1
2;6.11933;1.09098
4;3.27413;2.03904
7;2.61203;2.55589
8;1.73909;3.83883
16;1.13098;5.90291
20;1.05065;6.35422
40;0.854511;7.81275
