Amount_of_threads;Time_of_execution;Speedup
1;1.06718;1
2;0.518343;2.05882
4;0.262475;4.06582
7;0.148635;7.17987
8;0.13138;8.1228
16;0.0642647;16.606
20;0.0521136;20.4779
40;0.0258032;41.3583
