Amount_of_threads;Time_of_execution;Speedup
1;4.1756;1
2;2.0917;1.99627
4;1.04164;4.00869
7;0.59092;7.06627
8;0.518611;8.0515
16;0.259243;16.1069
20;0.207636;20.1102
40;0.103236;40.4472
