Amount_of_threads;Time_of_execution;Speedup
1;0.473986;1
2;0.466922;1.01513
4;0.466833;1.01532
7;0.467541;1.01379
8;0.467498;1.01388
16;0.467702;1.01344
20;0.467395;1.0141
40;0.467442;1.014
