Amount_of_threads;Time_of_execution;Speedup
1;1.07182;1
2;0.54746;1.9578
4;0.280783;3.81725
7;0.174912;6.12775
8;0.155187;6.90664
16;0.0926866;11.5639
20;0.0803725;13.3356
40;0.0633152;16.9283
