Amount_of_threads;Time_of_execution;Speedup
1;5.71443;1
2;2.20099;2.5963
4;1.08652;5.2594
7;0.666363;8.57556
8;0.602358;9.48678
16;0.329449;17.3454
20;0.284495;20.0862
40;0.248461;22.9993
