Amount_of_threads;Time_of_execution;Speedup
1;143.473;0.864172
2;81.7216;1.51716
4;41.2421;3.00628
7;25.1562;4.92861
8;23.0489;5.37923
16;22.0555;5.62152
20;21.2045;5.84712
40;20.7292;5.98119
