Amount_of_threads;Time_of_execution;Speedup
1;152.751;0.811681
2;83.3496;1.48753
4;41.1201;3.0152
7;26.5782;4.66493
8;23.0268;5.38439
16;21.1978;5.84898
20;21.1697;5.85672
40;20.1359;6.15741
