Amount_of_threads;Time_of_execution;Speedup
1;4.48005;1
2;3.56517;1.25662
4;1.59934;2.80118
7;0.696925;6.42831
8;0.662705;6.76024
16;0.447802;10.0045
20;0.303461;14.7632
40;0.288565;15.5252
