Amount_of_threads;Time_of_execution;Speedup
1;1.12574;1
2;0.910053;1.237
4;0.317708;3.54332
7;0.196001;5.74354
8;0.158915;7.0839
16;0.135759;8.29221
20;0.0743298;15.1452
40;0.07457;15.0964
