Amount_of_threads;Time_of_execution;Speedup
1;0.482125;1
2;0.246059;1.95938
4;0.129343;3.72748
7;0.0768237;6.27573
8;0.0697561;6.91158
16;0.0404005;11.9336
20;0.0326433;14.7695
40;0.024444;19.7237
